,IncomePA,cm_occup,E2Channel,IsKarvy,KRA YN,age,months_since_last_login,months_since_last_trade,total_logins_one_year,total_trades_one_year,referees_avg_logins_in_last_year,referees_avg_trades_in_last_year,target
0,5_10L,P,CAT,0,N,22.0,1.79143258688862,132.0,10.0,0.0,0.0,0.0,0.0
1,<=1L,S,CAT,0,Y,22.0,0.838640948456619,1.52859351421772,35.0,1.0,0.0,0.0,0.0
2,<=1L,P,CAT,0,N,22.0,1.13433490521138,1.06862513704365,4.0,1.0,0.0,0.0,0.0
3,<=1L,S,CAT,0,N,32.0,0.312962803114826,3.17133771841083,208.0,5.0,3.8333333333333295,1.60869565217391,0.6774193548387096
4,<=1L,S,CAT,0,Y,23.0,1.03577025295979,2.64565957306903,69.0,1.0,0.0,0.0,0.0
5,<=1L,S,CAT,0,N,23.0,4.15698424092669,132.0,1.0,0.0,0.0,0.0,0.0
6,<=1L,S,CAT,0,N,22.0,1.06862513704365,1.75857770280476,17.0,2.0,0.0,0.0,0.0
7,1_5L,S,CAT,0,N,21.0,22.9828328209797,1.98856189139179,0.0,1.0,0.0,0.0,0.0
8,<=1L,P,CAT,0,N,54.0,132.0,132.0,0.0,0.0,0.0,0.0,0.0
9,<=1L,S,CAT,0,Y,21.0,0.37867257128255,0.37867257128255,4.0,1.0,0.0,0.0,0.0
10,<=1L,S,CAT,0,N,20.0,1.36431909379841,2.02141677547565,6.0,1.0,0.0,0.0,0.0
11,5_10L,P,CAT,0,N,18.0,132.0,132.0,0.0,0.0,0.0,0.0,0.0
12,<=1L,S,CAT,0,N,51.0,0.37867257128255,1.00291536887593,5.0,1.0,13.0,1.0,1.0
13,<=1L,S,CAT,0,N,20.0,0.608656759869584,0.871495832540481,93.0,4.0,12.6666666666667,2.0,0.8
14,1_5L,S,CAT,0,N,23.0,132.0,132.0,0.0,0.0,0.0,0.0,0.0
15,<=1L,S,CAT,0,N,20.0,0.608656759869584,0.871495832540481,14.0,1.0,0.0,0.0,0.0
16,<=1L,S,CAT,0,Y,22.0,0.937205600708205,2.25140096406269,21.0,1.0,0.0,0.0,0.0
17,<=1L,S,CAT,0,N,22.0,1.36431909379841,2.415675384482,113.0,1.0,5.0,1.0,0.3333333333333333
18,<=1L,S,CAT,0,N,20.0,0.937205600708205,1.00291536887593,22.0,4.0,3.0,1.75,0.5
19,1_5L,S,CAT,0,N,24.0,132.0,132.0,0.0,0.0,0.0,0.0,0.0
20,<=1L,S,CAT,0,Y,26.0,0.345817687198688,0.575801875785722,23.0,1.0,8.0,1.0,1.0
21,5_10L,P,Franchisee,0,Y,21.0,1.56144839830159,1.7257228187209,8.0,1.0,0.0,0.0,0.0
22,<=1L,S,CAT,0,N,21.0,0.477237223534136,1.10148002112752,13.0,1.0,0.0,0.0,0.0
23,5_10L,S,CAT,0,N,47.0,132.0,132.0,0.0,0.0,0.0,0.0,0.0
24,<=1L,S,CAT,0,N,18.0,5.10977587935869,132.0,5.0,0.0,11.0,0.5,0.125
25,<=1L,S,CAT,0,N,20.0,1.33146420971455,2.02141677547565,7.0,1.0,0.0,1.0,1.0
26,<=1L,H,CAT,0,N,41.0,132.0,132.0,0.0,0.0,0.0,0.0,0.0
27,<=1L,S,CAT,0,N,30.0,15.3276448294398,132.0,0.0,0.0,0.0,0.0,0.0
28,<=1L,S,CAT,0,N,22.0,0.54294699170186,0.641511643953447,25.0,1.0,0.0,0.0,0.0
29,5_10L,P,CAT,0,N,21.0,7.179633576642,3.59845121150103,3.0,1.0,0.0,0.0,0.0
30,<=1L,S,CAT,0,N,20.0,0.871495832540481,1.95570700730793,7.0,1.0,0.0,0.0,0.0
31,5_10L,S,CAT,0,Y,21.0,3.33561213883014,132.0,9.0,0.0,0.0,0.0,0.0
32,<=1L,S,CAT,0,N,24.0,0.312962803114826,1.26575444154683,77.0,13.0,15.6,10.0,0.45454545454545453
33,<=1L,P,CAT,0,N,47.0,8.19813498324173,132.0,1.0,0.0,1.66666666666667,0.0,0.0
34,5_10L,S,CAT,0,Y,18.0,0.772931180288895,1.43002886196614,10.0,1.0,0.0,1.0,1.0
35,5_10L,P,Franchisee,0,N,24.0,4.71551727035235,8.69095824449966,91.0,17.0,27.0,0.0,0.0
