iter	MultiClass	Accuracy	Recall:class=0	Recall:class=1	Recall:class=2	Recall:class=3
0	0.5725668604	0.8831927101	0.9421618762	0.005970149254	0.9698013782	0
1	0.4422312951	0.8830914614	0.9421618762	0.00447761194	0.9698013782	0
2	0.3779989476	0.8836989538	0.9432639746	0.002985074627	0.9689906769	0
3	0.3411103672	0.8839689504	0.9423822959	0.02039800995	0.9675719497	0
4	0.3208777574	0.8843064462	0.9437929818	0.009950248756	0.9673692744	0
5	0.3100456266	0.8844414445	0.9438811497	0.01044776119	0.9675719497	0
6	0.3033268921	0.884643942	0.9446305766	0.004975124378	0.9675719497	0
7	0.2984577399	0.8849139386	0.9442779051	0.01393034826	0.9671665991	0
8	0.2959827077	0.8848464394	0.9447628284	0.01343283582	0.9647344953	0
9	0.2935265155	0.8847451907	0.9449832481	0.01144278607	0.9639237941	0
10	0.2924822788	0.8848126898	0.945071416	0.01094527363	0.9641264694	0
11	0.2918931602	0.8849139386	0.9452477517	0.01094527363	0.9639237941	0
12	0.2913029642	0.8850489369	0.9454240875	0.01144278607	0.9637211188	0
13	0.2906686853	0.8849476882	0.9456885911	0.01194029851	0.9616943656	0
14	0.2886548997	0.8848464394	0.9451595838	0.01293532338	0.9631130928	0
15	0.2881333149	0.8849139386	0.9454240875	0.01293532338	0.9623023916	0
16	0.2874452409	0.8850489369	0.9458649268	0.01542288557	0.9600729631	0
17	0.2863806	0.8852851839	0.9466143537	0.01741293532	0.9572355087	0
18	0.2851214034	0.8858251772	0.9466584377	0.02039800995	0.9590595865	0
19	0.2845674774	0.8859264259	0.9471874449	0.02139303483	0.9568301581	0
20	0.2837440646	0.8858251772	0.9470111092	0.02139303483	0.9570328334	0
21	0.2833464089	0.8861289234	0.9470111092	0.02338308458	0.95804621	0
22	0.2829316998	0.8863651704	0.947099277	0.02537313433	0.9582488853	0
23	0.2813334241	0.8863314209	0.9476723682	0.02487562189	0.9556141062	0
24	0.2799809891	0.8863314209	0.947143361	0.0263681592	0.957438184	0
25	0.2795059013	0.88639892	0.9470551931	0.02885572139	0.9572355087	0
26	0.2791155467	0.8865676679	0.947099277	0.02985074627	0.9576408593	0
27	0.2781038953	0.886803915	0.9474078646	0.03084577114	0.9572355087	0
28	0.2779335106	0.8867701654	0.9475401164	0.03184079602	0.9560194568	0
29	0.2775678248	0.8866014175	0.9474519485	0.03134328358	0.9556141062	0
30	0.2767887102	0.8871414107	0.9478487039	0.03383084577	0.9560194568	0
31	0.2762596272	0.8874114074	0.9478927879	0.03781094527	0.9558167815	0
32	0.2759590551	0.8877489031	0.9481572915	0.04129353234	0.9552087556	0
33	0.2758117384	0.8878501519	0.9483777112	0.0407960199	0.9550060803	0
34	0.2751391016	0.8876476544	0.9479368718	0.03781094527	0.9570328334	0
35	0.2748704668	0.8875801552	0.9478927879	0.03930348259	0.9562221321	0
36	0.2744865789	0.8878839015	0.9480250397	0.04278606965	0.9560194568	0
37	0.2741277066	0.8880863989	0.9481132075	0.04626865672	0.9554114309	0
38	0.2736043651	0.888322646	0.9481132075	0.04776119403	0.9562221321	0
39	0.2729682831	0.8886263922	0.9483336272	0.05024875622	0.9560194568	0
40	0.2724787812	0.8887276409	0.9485540469	0.05124378109	0.9552087556	0
41	0.2720880198	0.888963888	0.948465879	0.05572139303	0.9552087556	0
42	0.2717625601	0.8891326358	0.9485981308	0.05621890547	0.9554114309	0
43	0.271483564	0.8890651367	0.9485981308	0.05572139303	0.9552087556	0
44	0.2705659869	0.8890988863	0.948465879	0.0592039801	0.9546007296	0
45	0.2700996485	0.8891663854	0.9484217951	0.0592039801	0.9552087556	0
46	0.269641306	0.889200135	0.9485981308	0.05970149254	0.9543980543	0
47	0.2690548864	0.8895713804	0.9487303826	0.06169154229	0.9552087556	0
48	0.2684863806	0.8895038812	0.9487303826	0.06069651741	0.9552087556	0
49	0.2683888018	0.8895038812	0.9486862987	0.06119402985	0.9552087556	0
