iter	Passed	Remaining
0	37	1845
1	57	1386
2	77	1206
3	94	1086
4	112	1016
5	130	960
6	152	935
7	170	896
8	188	860
9	213	852
10	233	826
11	248	788
12	269	766
13	287	740
14	305	712
15	326	694
16	345	671
17	364	648
18	381	622
19	401	602
20	419	579
21	439	559
22	458	538
23	477	517
24	495	495
25	514	475
26	533	454
27	552	433
28	571	413
29	591	394
30	610	374
31	630	354
32	649	334
33	671	315
34	690	295
35	709	275
36	728	255
37	747	236
38	765	215
39	784	196
40	803	176
41	823	156
42	845	137
43	864	117
44	882	98
45	902	78
46	921	58
47	942	39
48	961	19
49	982	0
